AGNO,RBD,NOM_RBD,COD_REG_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,EJEMPLO
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,4,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,468100,2,200507,13,"3,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,4,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,763674,1,200311,15,"3,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,4,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,1004795,1,200501,14,"3,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,4,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,2947981,2,200408,14,"3,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,4,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,4415035,1,200610,12,"3,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,4,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,4632444,2,200407,14,"3,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,7831373,2,200606,13,"3,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,8258289,2,200604,13,"3,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,9335457,1,200702,12,"3,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,10278124,2,200602,13,"3,2"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,10526928,2,200506,14,"3,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,10950173,1,200610,12,"3,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,12104106,1,200504,14,"3,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,12120288,2,200409,14,"3,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,12211932,2,200409,14,"3,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,12306223,2,200411,14,"3,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,12846421,1,200604,13,"3,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,14853472,2,200706,12,"3,0"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,15402516,1,200311,15,"3,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,17002661,1,200512,13,"3,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,19153659,2,200607,12,"3,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,19669906,1,200610,12,"3,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,21434769,1,200503,14,"3,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,22067529,2,200702,12,"3,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,23594217,1,200409,14,"3,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,7,7,A,3,25474734,2,200607,12,"3,4"
